term,OR_full,OR_CI_full,p_full,OR_clean,OR_CI_clean,p_clean,separation_flag,m_converged,OR_change_pct,Sig_full,Sig_clean,Robustness
DBAS_Medications,0.6304145400562138,"0.63 [0.54, 0.73]",6.892601818632403e-9,0.47731187175454864,"0.48 [0.39, 0.59]",1.3132563275969597e-12,FALSE,37,-24.3,TRUE,TRUE,Robust (remains significant)
SURPS_Hopelessness,0.6282432627455484,"0.63 [0.34, 1.18]",0.14603426890619775,0.37250454435029284,"0.37 [0.17, 0.84]",0.01743897231392749,FALSE,37,-40.7,FALSE,TRUE,Gains significance after removal
CISS_Emotion,0.8486509184635257,"0.85 [0.58, 1.25]",0.40078862559410366,0.8190577060586901,"0.82 [0.51, 1.30]",0.39931012867594134,FALSE,37,-3.5,FALSE,FALSE,Both non-significant
DBAS_Consequences,1.0821381930200693,"1.08 [0.93, 1.26]",0.2968507272248675,1.144360682929534,"1.14 [0.96, 1.37]",0.14041954540409937,FALSE,37,5.7,FALSE,FALSE,Both non-significant
SURPS_Sensation_Seeking,1.558823310439489,"1.56 [0.93, 2.61]",0.0916274863356329,1.8793674055510623,"1.88 [1.00, 3.53]",0.05026734610466698,FALSE,37,20.6,FALSE,FALSE,Both non-significant
BFI_Neuroticism,1.043656709033731,"1.04 [0.78, 1.40]",0.7743511031338172,0.9852892412110456,"0.99 [0.69, 1.41]",0.9354149808236567,FALSE,37,-5.6,FALSE,FALSE,Both non-significant
