term,b_raw,p_raw,b_std,p_std,scale_change,note
(Intercept),1.3404214057650756,0.11281786129319193,-1.16050644696153,4.065859073493866e-18,-0.1799,intercept
DBAS_Medications,-0.46137767589447254,6.892601818632403e-9,-0.9050183611333743,8.506585372000652e-9,0.4436,1 SD ≈ scaled
SURPS_Hopelessness,-0.46482782645907444,0.14603426890619775,-0.2238412224157885,0.14579975837535503,-0.241,1 SD ≈ scaled
CISS_Emotion,-0.16410734511096772,0.40078862559410366,-0.13046293309208132,0.40094685914658,-0.0336,1 SD ≈ scaled
DBAS_Consequences,0.07893889225036708,0.2968507272248675,0.15392428495459085,0.2966370425274089,0.075,1 SD ≈ scaled
SURPS_Sensation_Seeking,0.44393124846316995,0.0916274863356329,0.21652046137531702,0.09194947947925089,-0.2274,1 SD ≈ scaled
BFI_Neuroticism,0.04273061262176202,0.7743511031338172,0.044828528082501616,0.7736809258896192,0.0021,1 SD ≈ scaled
