Term,Estimate,SE,z_value,p_value,Significant_Bonferroni,Interpretation
I(DBAS_Medications * log(DBAS_Medications)),1.0267,0.3422,3,0.0027,TRUE,⚠️  NON-LINEAR — consider polynomial or spline
I(SURPS_Hopelessness * log(SURPS_Hopelessness)),2.342,1.5873,1.475,0.1401,FALSE,✓ Linear assumption met
I(CISS_Emotion * log(CISS_Emotion)),-0.7817,0.9355,-0.836,0.4034,FALSE,✓ Linear assumption met
I(DBAS_Consequences * log(DBAS_Consequences)),0.0577,0.3076,0.188,0.8512,FALSE,✓ Linear assumption met
I(SURPS_Sensation_Seeking * log(SURPS_Sensation_Seeking)),-1.6509,1.6929,-0.975,0.3295,FALSE,✓ Linear assumption met
I(BFI_Neuroticism * log(BFI_Neuroticism)),-0.4738,0.5603,-0.846,0.3978,FALSE,✓ Linear assumption met
