Fold,Mean_AUC,SD
1,0.809,0.072
2,0.782,0.082
3,0.794,0.069
4,0.798,0.077
5,0.797,0.067
6,0.793,0.066
7,0.8,0.098
8,0.773,0.088
9,0.805,0.069
10,0.782,0.085
